author,published_at,text,like_count,contexto,texto_limpo,texto_processado
@diogocorrea4351,2025-06-29T23:55:11Z,Me lembra meu sonho de Deus 😂😂😂😂😂😂😂❤❤❤❤❤❤❤😊,0,musica_dormir,me lembra meu sonho de deus 😂😂😂😂😂😂😂❤❤❤❤❤❤❤😊,lembra sonho deus 😂😂😂😂😂😂😂❤❤❤❤❤❤❤😊
@luizcarlossilvadossantosca9367,2025-06-29T14:44:43Z,Alguém em 1990?,0,musica_dormir,alguém em,alguém
@mintaka2090,2025-06-29T12:50:40Z,🙏 Gratidão 🤗❤️,0,musica_dormir,🙏 gratidão 🤗❤️,🙏 gratidão 🤗❤️
@SueliDossantos-f1b,2025-06-29T06:25:58Z,Assim seja obrigado Espírito Santo,0,musica_dormir,assim seja obrigado espírito santo,assim espírito santo
@graziela_xaviers8662,2025-06-29T03:18:52Z,"Eu amo pq essa música é a unica fora a deus na qual consigo me acalmar em crises, quando nao consigo dormi, e até quando eu oro, que deus nos abençoe cada dia mais🙏🏻e q essa musica possa ajudar muitos como me ajuda ❤",0,musica_dormir,eu amo pq essa música é a unica fora a deus na qual consigo me acalmar em crises quando nao consigo dormi e até quando eu oro que deus nos abençoe cada dia mais🙏🏻e q essa musica possa ajudar muitos como me ajuda ❤,amo pq unica deus consigo acalmar crises nao consigo dormi oro deus abençoe cada mais🙏🏻e q musica possa ajudar muitos ajuda ❤
@DandaraAraujo-tg3nn,2025-06-29T03:15:18Z,❤🎉,0,musica_dormir,❤🎉,❤🎉
@JacianeMendes-y3z,2025-06-29T02:17:52Z,"Essa é a melhor música que eu já ouvi❤🎉
Eu amei essa música ela deixa as pessoas estão relaxadas",0,musica_dormir,essa é a melhor música que eu já ouvi❤🎉 eu amei essa música ela deixa as pessoas estão relaxadas,melhor ouvi❤🎉 amei deixa pessoas relaxadas
@vitorvalentim120,2025-06-28T18:45:10Z,Não tem um comentario falando se a pessoa comseguiu dormir ou não.,0,musica_dormir,não tem um comentario falando se a pessoa comseguiu dormir ou não,comentario falando pessoa comseguiu
@SeuliSantis-jw4ms,2025-06-28T15:12:57Z,Que maravilhas  Deus abençoe sempre,0,musica_dormir,que maravilhas deus abençoe sempre,maravilhas deus abençoe
@FabricioDias-p9z6k,2025-06-28T05:40:31Z,Alguém em 2026?,0,musica_dormir,alguém em,alguém
