author,published_at,text,like_count,fator_ritmo,texto_limpo,valencia_zs,ativacao_zs
@Xtjayoficial,2025-06-26T09:42:02Z,Tá foda esse bit mano,0,Movimento,tá foda esse bit mano,0.0,2.0
@Victorgabriel03,2025-06-24T01:41:03Z,Eu ti  amo cara 😎 🎉,0,Movimento,eu ti amo cara 😎 🎉,3.0,3.0
@DanieleAlves-z4w,2025-06-21T23:52:24Z,Essa música do CD top tá velho,1,Movimento,essa música do cd top tá velho,1.0,3.0
@JúniorMartins-c7v1q,2025-06-21T11:20:27Z,Amei ❤❤,0,Movimento,amei ❤❤,3.0,3.0
@hudsonHSR,2025-06-20T12:27:18Z,Só pedrada ❤,0,Movimento,só pedrada ❤,2.0,2.0
@Faelzonasul,2025-06-17T06:12:09Z,SE LOUCO TOP D MAIS🎉,0,Movimento,se louco top d mais🎉,3.0,4.0
@AlirioGomes26,2025-06-17T01:39:02Z,"Te amo tuto 
Mamã tricote 😢",0,Movimento,te amo tuto mamã tricote 😢,4.0,3.0
@GustavoNacci,2025-06-17T01:24:13Z,Qual é o Instagram dessa loira Linda??,0,Movimento,qual é o instagram dessa loira linda,3.0,3.0
@emersoncastro1353,2025-06-15T06:09:18Z,Essa foi foda!!!!!,0,Movimento,essa foi foda,4.0,3.0
@COTA40Estamparia,2025-06-14T22:38:13Z,amo muito,0,Movimento,amo muito,3.0,3.0
@CauaFelipe-n2o,2025-06-13T18:13:00Z,Música foda,0,Movimento,música foda,3.0,3.0
@OsMtchave,2025-06-08T16:49:43Z,Foda di mais,0,Movimento,foda di mais,1.0,3.0
@EduardoCostaNeves-v7u9g,2025-06-07T22:19:36Z,O poder vai descer maravilha d❤❤❤,1,Movimento,o poder vai descer maravilha d❤❤❤,3.0,4.0
@Sabrina-fq5xp,2025-06-06T14:28:05Z,Clipe fraquinho em nega sem graça kkkk,0,Movimento,clipe fraquinho em nega sem graça kkkk,1.0,3.0
@tiagoteixeira4305,2025-06-05T18:12:11Z,Grande PORTOOOOOHHHH,0,Movimento,grande portooooohhhh,4.0,4.0
@JessicaPerez-yu6zx,2025-06-04T19:40:59Z,AMEI,1,Movimento,amei,,
@magnojunior-g4w,2025-06-03T11:16:43Z,esta é pancada em,0,Movimento,esta é pancada em,1.0,3.0
@sandradossantos5754,2025-06-01T15:17:20Z,Gata chique charmosa de Valentino,0,Movimento,gata chique charmosa de valentino,3.0,2.0
@anacarolinna1396,2025-05-31T22:09:16Z,Lixo puro,0,Movimento,lixo puro,1.0,1.0
@ElenildeSilvadaschagas-b7g,2025-05-31T14:18:39Z,música Linda demais ❤️,0,Movimento,música linda demais ❤️,3.0,3.0
@raquelprado2977,2025-05-30T20:52:37Z,Eu acho linda essa música,1,Movimento,eu acho linda essa música,3.0,3.0
@Crescendocom3bebêse1mãe,2025-05-29T01:24:36Z,Foda,0,Movimento,foda,,
@MariaFerreira-gb6tb,2025-05-28T23:34:09Z,Tuto humilde santa Inês e nós caralho  muleque humilde amo tuto,1,Movimento,tuto humilde santa inês e nós caralho muleque humilde amo tuto,3.0,3.0
@juliotubaraodograu6096,2025-05-28T20:09:30Z,Essas modelo pelo amor né parece um saco de batata com essas ombreira kkkk a música e boa oque matou foi eSSA MODELO,0,Movimento,essas modelo pelo amor né parece um saco de batata com essas ombreira kkkk a música e boa oque matou foi essa modelo,1.0,3.0
